,PC1 - CVR: 59.03494%,PC2 - CVR: 79.78684%,PC3 - CVR: 86.38222%,PC4 - CVR: 90.61222%,PC5 - CVR: 93.05592%,PC6 - CVR: 95.19849%,PC7 - CVR: 96.48024%,PC8 - CVR: 97.55565%,PC9 - CVR: 98.22377%,PC10 - CVR: 98.68405%,PC11 - CVR: 99.05712%,PC12 - CVR: 99.31350%,PC13 - CVR: 99.47341%,PC14 - CVR: 99.59341%,PC15 - CVR: 99.69998%,PC16 - CVR: 99.75044%,PC17 - CVR: 99.79340%,PC18 - CVR: 99.83438%,PC19 - CVR: 99.86488%,PC20 - CVR: 99.88476%,PC21 - CVR: 99.90209%,PC22 - CVR: 99.91634%,PC23 - CVR: 99.92930%,PC24 - CVR: 99.93908%,PC25 - CVR: 99.94685%,PC26 - CVR: 99.95408%,PC27 - CVR: 99.95968%,PC28 - CVR: 99.96487%,PC29 - CVR: 99.96866%,PC30 - CVR: 99.97202%,PC31 - CVR: 99.97500%,PC32 - CVR: 99.97772%,PC33 - CVR: 99.97983%,PC34 - CVR: 99.98182%,PC35 - CVR: 99.98346%,PC36 - CVR: 99.98496%,PC37 - CVR: 99.98633%,PC38 - CVR: 99.98742%,PC39 - CVR: 99.98849%,PC40 - CVR: 99.98944%,PC41 - CVR: 99.99018%
1801.236,9.193043192720397e-05,0.0015204076459306214,-0.0016395504892288979,0.00013638400482213222,-0.0010647622318181403,0.0022960758768332994,-0.0014733722725243084,-0.0003771364206168573,-0.005289753273269932,0.000803981725622401,-0.0023368645701222954,-0.004710916199679191,0.00408337746153021,-0.002787392006192763,0.00012702298950098258,-0.00034563572296208886,0.0013726744636097389,-0.003836494328525111,-0.00010649969283773274,-0.003208021936468163,0.0006758507457683114,0.004606402232216496,-0.0039799230495636915,0.0011249248630447104,0.0006197003913205957,-0.006472502134824157,-0.005958004410475189,-0.0013484876275440423,0.0011016985390416333,0.0006689461145309528,0.004713977259857577,0.009097954291070055,-0.001657858445501004,-0.0005265241512999877,0.0043286253630018465,0.0005207171147810258,-0.003102313508119507,-0.007119586740489044,-0.0012530724535540227,-0.003934652880460693,0.0016248296949634847
1800.3042,0.0007455050610461996,0.0037492615883187915,-0.009042383333703956,0.003875394673279666,-0.011134090163314306,-0.0014612753174971065,0.006201317838535424,-0.022577575535117085,-0.03023800884249295,-0.014799316178876261,-0.013339961798661423,-0.014956841195884404,0.012040822671749985,0.0032191553510912533,-0.01879033043632727,-0.015157652844161927,0.037533492709163854,-0.021030633666730532,-0.016270330776070898,0.021546968814019962,0.009112858383765793,0.013218310498330058,0.043784730270514154,-0.0018245647228482696,0.005445302593673053,0.005451623030707619,0.012788217699846303,0.0006597201016874163,0.002376189237987763,0.036895352167205055,-0.04597715715986427,-0.008422639458994567,0.00010658511756789792,0.03944820492292182,-0.04353089918306365,-0.005726238344390467,0.07062536938021258,0.043286358989725535,-0.05025510399474011,-0.0009603768392332604,0.008028134658815134
1799.3723,6.412600077261326e-05,0.0036291323311480298,-0.008906381864225035,0.004967118867171056,-0.009593257788381757,-0.003316593817969175,0.008466586616246545,-0.02312156407182731,-0.02722124262976341,-0.016687907757213873,-0.012343964635864017,-0.008571079144005938,0.006288834462968611,0.011864455715655907,-0.023003894028712234,-0.01068870413100629,0.029163468770677093,-0.016139705430832808,-0.02431994705775091,-0.0038814492229354235,-0.0023130446833738295,0.016226627398650998,0.02328575933417073,0.004143892059326899,0.011107282255140086,-0.014892617778677468,-0.01501376274837508,0.0037637647545801043,0.013393499990280382,0.015716242506282986,-0.02459384809887433,-0.0033914713018672314,0.0022256071631542628,0.015555825569995775,-0.007143839488501039,-0.011847391827704137,0.03031173670520518,0.011882885053423959,-0.017555443234003976,-0.0014454427390473434,0.008234546676014193
1798.4405,-0.0003957265393333953,0.0036203910285559845,-0.009367027643269557,0.006659866294156128,-0.00858814746846312,-0.005006932433315548,0.011128488962195858,-0.02553053711239188,-0.027259598852335604,-0.018842033555248404,-0.012450175870021517,-0.003306293875530429,0.0018149419456193975,0.019401159260688083,-0.028786818861923767,-0.008627327982449135,0.02546483245325092,-0.013844466570345493,-0.03286298066329267,-0.01952379581580864,-0.009726972698434894,0.020168876729643626,0.01251247676028873,0.0074855466783883455,0.014971046723215118,-0.02613097544762706,-0.031997904233961066,0.004640913149790484,0.020977258158545106,0.0038912960424600726,-0.01563329790167825,-0.0036597198954664146,0.00530010717149746,0.002416774560968309,0.009761339086193099,-0.013606075777619993,0.011294895584641631,-0.004864648411399016,-0.002871439464695747,-0.0024766966150885977,0.008289331232485125
1797.5087,-0.0006823055855039007,0.0036776653696881357,-0.010222816550299108,0.00867123745535217,-0.008006040419265899,-0.006522757144630094,0.013927652813926756,-0.02912148065082275,-0.029362699945970936,-0.02110778712636315,-0.013307364305607177,0.0009500154532364071,-0.0016124681412250283,0.025918439063317197,-0.035375686290600464,-0.008274984740212163,0.025093407815193605,-0.013375013951809879,-0.04143731201519977,-0.027955101783313677,-0.014160326814746518,0.02454255254582927,0.00874073811891743,0.00893404288571039,0.01744311173609772,-0.030737330427688263,-0.040981409552724876,0.004056506257810837,0.02593054806649859,-0.0013775244999855944,-0.015302367591348513,-0.007480706998188071,0.008857454535717237,-0.003147375666639886,0.01329440925717755,-0.012531458777645846,0.0076494704957508815,-0.010779322821102305,-0.0008735084445541781,-0.0038089947506817143,0.008801814299183334
1796.5768,-0.0008373322588873326,0.0037617344870794225,-0.011299485168174325,0.010757446206954997,-0.0077505050525481225,-0.007856218825025615,0.016639579312338636,-0.03330542967714787,-0.032674770759336745,-0.02335169914453962,-0.014610329738516692,0.004297849144832484,-0.004196401014281386,0.03149366606657903,-0.042108958381491,-0.00902636429264109,0.026886436306691686,-0.014066547526795523,-0.04963683521503237,-0.031414130575136714,-0.016508719266119822,0.028918986529300923,0.009610551813325995,0.009137437652695646,0.018874285978136812,-0.0308762016035287,-0.044414242085834416,0.0026576043276979582,0.02894854452382273,-0.002468672460939193,-0.02031380259836844,-0.013318153780099394,0.012492356579945086,-0.003850329199851176,0.008692887685563432,-0.009925452681875942,0.014186579412859493,-0.009243355160030265,-0.006966928613189577,-0.005227972777216581,0.010201863388148427
1795.645,-0.0008959957755284558,0.003839528956509096,-0.012450010782696662,0.012713319760185658,-0.00774139697527944,-0.009001153241382035,0.01907464280285042,-0.037587468177514,-0.03647463855294692,-0.02546073740519307,-0.016099902956709565,0.0068247069581612255,-0.0061112538458507025,0.03619240908121148,-0.04842697791323858,-0.010369386073932741,0.029862576768853375,-0.015359370332206808,-0.057111458044955654,-0.03180337827191104,-0.017531973367471476,0.03294334799083662,0.013126079079976599,0.008658201169996986,0.01955967108036192,-0.028402746293600976,-0.04437912579985216,0.0009729868879077382,0.030618512826420058,-0.0013410172457026337,-0.027886232760220713,-0.019846180823392068,0.015866858558144282,-0.0019410666497206234,0.00032203497685655866,-0.006862712615130987,0.02645383380796606,-0.0031980979799761046,-0.017291841093049546,-0.00655004567331812,0.012739887553304557
1794.7132,-0.0008869534469807945,0.0038841307966907147,-0.013554611383186048,0.014372298681517947,-0.007914858990918846,-0.009953081052018009,0.021078090833958722,-0.04156672913327137,-0.04017573300213511,-0.027342306826034814,-0.017562945740954405,0.0086055881112884,-0.007502815764250885,0.040068434784126,-0.05387196837637322,-0.0118851990646961,0.033221905434882015,-0.016798888489080017,-0.06356710196661788,-0.030689073584188833,-0.017854123512875714,0.036334643868510305,0.017655633990356658,0.007973216849808163,0.01973866162012245,-0.02486276024944803,-0.042591545247354104,-0.0005868472543834839,0.031419808757881786,0.0004661556759410556,-0.035744172322891635,-0.025949308123027922,0.018710343654263425,0.0007961548469447162,-0.008325144320569059,-0.004190636971937056,0.04073533865146053,0.004855960600009247,-0.028723249686976596,-0.007622407766053398,0.016486837390391227
1793.7813,-0.0008323306793107234,0.0038747734700773236,-0.01452074566238393,0.015606436892383516,-0.00822332109823022,-0.010709207808729117,0.02253004415838758,-0.044936394522411056,-0.04332608619401426,-0.028924249445442786,-0.018832350862994892,0.009702991279923015,-0.008488267853588648,0.04316370771971046,-0.05808803397397392,-0.013248181791993264,0.036345915929172974,-0.01803561120408002,-0.06876570212187523,-0.029301177853686272,-0.01796341517800269,0.03888571872885625,0.021931683448730407,0.00747378132359014,0.01959494512167461,-0.021492677656514178,-0.040399745566158975,-0.001729680013558792,0.03172387858772165,0.0018331447693453718,-0.04211801993922521,-0.030722455085601976,0.020819532983187648,0.0030418016292526142,-0.014627901712797556,-0.0025293674182189853,0.054051692410918596,0.01285919689313348,-0.038871020880952435,-0.008323032729659893,0.02133420503658179
1792.8495,-0.0018020988570105743,0.00885767928313495,-0.01838994462108106,0.023992849510528363,0.0033443639429911578,-0.011885094813982906,0.02528581272998525,-0.03507676195453669,-0.03726628089846202,-0.03312587294450337,-0.00811060646234236,0.02208330213371757,-0.002873451580572325,0.030738097277094503,-0.06582290898330796,-0.023270283949126364,0.015820823559519775,-0.011816118492118763,-0.0783078291472397,-0.026317367453071828,-0.018159663010962505,0.03892658251739641,0.012761134288360563,-0.0016488553042304304,0.04041611751073712,-0.00857453601795096,-0.018414287613111962,-0.00012066210188131651,0.05165100181719447,-0.04604467261520841,-0.03796544104820779,-0.055461185411344885,0.030329126538175,-0.029709198832811846,-0.0065255948997151305,-0.0044889903710121064,0.08524309242702564,0.047668028364245024,-0.020909244797430764,0.001184724747528279,0.0678431366572336
